epoch,training_time_mean,training_time_dev,total_time
1,4.274526596069336,0.0,4.274526596069336
2,2.780068278312683,1.4944583177566528,5.560136556625366
3,2.2749287287394204,1.4139551046954024,6.824786186218262
4,2.023844838142395,1.2994541696122481,8.09537935256958
5,1.8746528148651123,1.1999574785701377,9.373264074325562
6,1.776557167371114,1.117152066163482,10.659343004226685
7,1.7050861631120955,1.0489935871035976,11.935603141784668
8,1.6501950323581696,0.9919326369313219,13.201560258865356
9,1.6103983720143635,0.9419527347331692,14.493585348129272
10,1.5764302492141724,0.8994064483442881,15.764302492141724
11,1.5493682514537463,0.8618098441777917,17.04305076599121
12,1.5285932620366414,0.8279920242770216,18.343119144439697
13,1.5102082582620473,0.7980543075769605,19.632707357406616
14,1.4950588941574097,0.7709617555973685,20.930824518203735
15,1.480517578125,0.7468044310448484,22.207763671875
16,1.4679490327835083,0.7247268999899018,23.487184524536133
17,1.4587261115803438,0.7040555715050837,24.798343896865845
18,1.4482382006115384,0.6855841415517607,26.06828761100769
19,1.4400651831375926,0.6681989170446818,27.361238479614258
20,1.4321548342704773,0.6521918443736409,28.643096685409546
