TMIN,TMAX,EMIN,EMAX,COUNTS,ERROR
0,10,0.03,0.0449,33,5.7446
10,20,0.03,0.0449,42,6.4807
20,30,0.03,0.0449,22,4.6904
30,40,0.03,0.0449,32,5.6569
40,50,0.03,0.0449,32,5.6569
50,60,0.03,0.0449,40,6.3246
60,70,0.03,0.0449,22,4.6904
70,80,0.03,0.0449,27,5.1962
80,90,0.03,0.0449,35,5.9161
90,100,0.03,0.0449,29,5.3852
100,110,0.03,0.0449,26,5.099
110,120,0.03,0.0449,27,5.1962
120,130,0.03,0.0449,21,4.5826
130,140,0.03,0.0449,26,5.099
140,150,0.03,0.0449,30,5.4772
150,160,0.03,0.0449,25,5.0
160,170,0.03,0.0449,23,4.7958
170,180,0.03,0.0449,29,5.3852
180,190,0.03,0.0449,33,5.7446
190,200,0.03,0.0449,34,5.831
200,210,0.03,0.0449,25,5.0
210,220,0.03,0.0449,26,5.099
220,230,0.03,0.0449,24,4.899
230,240,0.03,0.0449,38,6.1644
240,250,0.03,0.0449,27,5.1962
250,260,0.03,0.0449,31,5.5678
260,270,0.03,0.0449,34,5.831
270,280,0.03,0.0449,34,5.831
280,290,0.03,0.0449,27,5.1962
290,300,0.03,0.0449,22,4.6904
300,310,0.03,0.0449,35,5.9161
310,320,0.03,0.0449,36,6.0
320,330,0.03,0.0449,26,5.099
330,340,0.03,0.0449,37,6.0828
340,350,0.03,0.0449,27,5.1962
350,360,0.03,0.0449,37,6.0828
360,370,0.03,0.0449,25,5.0
370,380,0.03,0.0449,36,6.0
380,390,0.03,0.0449,28,5.2915
390,400,0.03,0.0449,40,6.3246
400,410,0.03,0.0449,36,6.0
410,420,0.03,0.0449,25,5.0
420,430,0.03,0.0449,29,5.3852
430,440,0.03,0.0449,36,6.0
440,450,0.03,0.0449,33,5.7446
450,460,0.03,0.0449,33,5.7446
460,470,0.03,0.0449,27,5.1962
470,480,0.03,0.0449,24,4.899
480,490,0.03,0.0449,23,4.7958
490,500,0.03,0.0449,31,5.5678
500,510,0.03,0.0449,30,5.4772
510,520,0.03,0.0449,28,5.2915
520,530,0.03,0.0449,27,5.1962
530,540,0.03,0.0449,23,4.7958
540,550,0.03,0.0449,40,6.3246
550,560,0.03,0.0449,21,4.5826
560,570,0.03,0.0449,24,4.899
570,580,0.03,0.0449,34,5.831
580,590,0.03,0.0449,21,4.5826
590,600,0.03,0.0449,30,5.4772
600,610,0.03,0.0449,33,5.7446
610,620,0.03,0.0449,34,5.831
620,630,0.03,0.0449,29,5.3852
630,640,0.03,0.0449,34,5.831
640,650,0.03,0.0449,37,6.0828
