epoch,training_time_mean,training_time_dev,total_time,f1_score
10,2.060100722312927,1.1683582829384556,20.601007223129272,0.5365853658536585
20,1.8595865368843079,0.8501567859274103,37.19173073768616,0.888888888888889
30,1.794118309020996,0.7003272548517294,53.82354927062988,0.9123867069486404
40,1.7618837177753448,0.6090815363010745,70.4753487110138,0.9317507418397626
50,1.743321886062622,0.5460606477892542,87.1660943031311,0.9156626506024096
60,1.7301082293192545,0.4993710799475806,103.80649375915527,0.9057750759878419
70,1.72084128175463,0.462903307435673,120.4588897228241,0.9123867069486404
80,1.7140149146318435,0.4333975648995234,137.12119317054749,0.9317507418397626
90,1.709283513493008,0.4088383988665945,153.83551621437073,0.9349112426035503
100,1.705220000743866,0.38806337181314104,170.5220000743866,0.9411764705882353
110,1.7012324679981579,0.3702324182206374,187.13557147979736,0.9380530973451328
120,1.6995627899964652,0.35451864302163155,203.9475347995758,0.9473684210526316
130,1.6968918213477502,0.34074277063184194,220.59593677520752,0.9595375722543353
140,1.6950026903833662,0.32844978205762365,237.30037665367126,0.9565217391304348
150,1.6929151089986165,0.3174164763282406,253.93726634979248,0.9504373177842567
160,1.6909457117319107,0.307436469112347,270.5513138771057,0.9507246376811593
170,1.6895698449190926,0.29831188467631387,287.2268736362457,0.9507246376811593
180,1.6882701264487372,0.289960649272967,303.8886227607727,0.9534883720930233
190,1.6871230188168977,0.28227363660870897,320.55337357521057,0.9473684210526316
200,1.6860410463809967,0.27518238964589903,337.20820927619934,0.9321533923303834
210,1.6852200984954835,0.26858511987101674,353.8962206840515,0.9473684210526316
220,1.6843759547580373,0.2624478085580506,370.5627100467682,0.9473684210526316
230,1.6836053983024928,0.25670584622880255,387.22924160957336,0.93841642228739
240,1.6828767945369085,0.2513365911518027,403.89043068885803,0.9289940828402367
250,1.6822609128952026,0.24628227330130095,420.56522822380066,0.93841642228739
260,1.682219985815195,0.24151178289330597,437.3771963119507,0.93841642228739
270,1.6821506049897936,0.2369996796776259,454.18066334724426,0.9226190476190477
280,1.6821610604013715,0.23274197557690465,471.00509691238403,0.9258160237388724
290,1.68194019218971,0.22870251379806988,487.76265573501587,0.9226190476190477
300,1.6817778762181599,0.22486639275406464,504.533362865448,0.9258160237388724
310,1.6817136810671898,0.22121602215532044,521.3312411308289,0.9258160237388724
320,1.6813035108149053,0.21775346432015158,538.0171234607697,0.93841642228739
330,1.6810242674567484,0.2144448149470337,554.7380082607269,0.9349112426035503
340,1.6807208369759952,0.21127707914106456,571.4450845718384,0.9349112426035503
350,1.6803708737237113,0.208248357947232,588.129805803299,0.9411764705882353
360,1.680137393871943,0.20534588595016232,604.8494617938995,0.9349112426035503
370,1.6798691079423234,0.20256142446708864,621.5515699386597,0.9285714285714286
380,1.6797278259929858,0.19988683863575532,638.2965738773346,0.9504373177842567
390,1.6795232772827149,0.19731764630814247,655.0140781402588,0.9285714285714286
400,1.6792195296287538,0.1948482284026386,671.6878118515015,0.9411764705882353
410,1.679039645776516,0.19246405723727103,688.4062547683716,0.9349112426035503
420,1.679615493047805,0.1905214159007717,705.4385070800781,0.9221556886227544
430,1.701363765361697,0.2355712721467168,731.5864191055298,0.8990825688073394
440,1.7214732619849118,0.26816235550943185,757.4482352733612,0.8923076923076924
450,1.74202295144399,0.29863253970836984,783.9103281497955,0.9221556886227544
460,1.7618384765542072,0.32415593411654975,810.4456992149353,0.8923076923076924
470,1.7813449281327267,0.34703340142033984,837.2321162223816,0.9024390243902439
480,1.8016680240631104,0.3708512135222342,864.800651550293,0.888888888888889
490,1.8220265806937703,0.39330022661250663,892.7930245399475,0.9057750759878419
500,1.8177978076934815,0.3904754661762887,908.8989038467407,0.8819875776397516
