TMIN,TMAX,EMIN,EMAX,COUNTS,ERROR
0,100,0.03,0.0449,314,17.72
100,200,0.03,0.0449,274,16.5529
200,300,0.03,0.0449,288,16.9706
300,400,0.03,0.0449,327,18.0831
400,500,0.03,0.0449,297,17.2337
500,600,0.03,0.0449,278,16.6733
600,700,0.03,0.0449,326,18.0555
700,800,0.03,0.0449,276,16.6132
800,900,0.03,0.0449,341,18.4662
900,1000,0.03,0.0449,314,17.72
1000,1100,0.03,0.0449,280,16.7332
1100,1200,0.03,0.0449,285,16.8819
1200,1300,0.03,0.0449,329,18.1384
1300,1400,0.03,0.0449,306,17.4929
1400,1500,0.03,0.0449,287,16.9411
1500,1600,0.03,0.0449,345,18.5742
1600,1700,0.03,0.0449,319,17.8606
1700,1800,0.03,0.0449,297,17.2337
0,100,0.0449,0.0671,201,14.1774
100,200,0.0449,0.0671,221,14.8661
200,300,0.0449,0.0671,220,14.8324
300,400,0.0449,0.0671,215,14.6629
400,500,0.0449,0.0671,223,14.9332
500,600,0.0449,0.0671,221,14.8661
600,700,0.0449,0.0671,213,14.5945
700,800,0.0449,0.0671,214,14.6287
800,900,0.0449,0.0671,195,13.9642
900,1000,0.0449,0.0671,245,15.6525
1000,1100,0.0449,0.0671,208,14.4222
1100,1200,0.0449,0.0671,250,15.8114
1200,1300,0.0449,0.0671,226,15.0333
1300,1400,0.0449,0.0671,210,14.4914
1400,1500,0.0449,0.0671,232,15.2315
1500,1600,0.0449,0.0671,195,13.9642
1600,1700,0.0449,0.0671,223,14.9332
1700,1800,0.0449,0.0671,205,14.3178
0,100,0.0671,0.1003,102,10.0995
100,200,0.0671,0.1003,114,10.6771
200,300,0.0671,0.1003,111,10.5357
300,400,0.0671,0.1003,113,10.6301
400,500,0.0671,0.1003,118,10.8628
500,600,0.0671,0.1003,124,11.1355
600,700,0.0671,0.1003,114,10.6771
700,800,0.0671,0.1003,109,10.4403
800,900,0.0671,0.1003,98,9.8995
900,1000,0.0671,0.1003,96,9.798
1000,1100,0.0671,0.1003,106,10.2956
1100,1200,0.0671,0.1003,126,11.225
1200,1300,0.0671,0.1003,102,10.0995
1300,1400,0.0671,0.1003,109,10.4403
1400,1500,0.0671,0.1003,101,10.0499
1500,1600,0.0671,0.1003,120,10.9545
1600,1700,0.0671,0.1003,116,10.7703
1700,1800,0.0671,0.1003,94,9.6954
0,100,0.1003,0.15,67,8.1854
100,200,0.1003,0.15,57,7.5498
200,300,0.1003,0.15,50,7.0711
300,400,0.1003,0.15,72,8.4853
400,500,0.1003,0.15,54,7.3485
500,600,0.1003,0.15,67,8.1854
600,700,0.1003,0.15,60,7.746
700,800,0.1003,0.15,50,7.0711
800,900,0.1003,0.15,57,7.5498
900,1000,0.1003,0.15,58,7.6158
1000,1100,0.1003,0.15,56,7.4833
1100,1200,0.1003,0.15,52,7.2111
1200,1300,0.1003,0.15,42,6.4807
1300,1400,0.1003,0.15,54,7.3485
1400,1500,0.1003,0.15,55,7.4162
1500,1600,0.1003,0.15,52,7.2111
1600,1700,0.1003,0.15,49,7.0
1700,1800,0.1003,0.15,51,7.1414
