TMIN,TMAX,EMIN,EMAX,COUNTS,ERROR
0,100,0.03,0.0449,1133,33.6601
100,200,0.03,0.0449,1180,34.3511
200,300,0.03,0.0449,1161,34.0735
300,400,0.03,0.0449,1176,34.2929
400,500,0.03,0.0449,1165,34.1321
500,600,0.03,0.0449,1120,33.4664
600,700,0.03,0.0449,1100,33.1662
700,800,0.03,0.0449,1189,34.4819
800,900,0.03,0.0449,1175,34.2783
900,1000,0.03,0.0449,1111,33.3317
1000,1100,0.03,0.0449,1115,33.3916
1100,1200,0.03,0.0449,1139,33.7491
1200,1300,0.03,0.0449,1136,33.7046
1300,1400,0.03,0.0449,1176,34.2929
1400,1500,0.03,0.0449,1178,34.322
1500,1600,0.03,0.0449,1106,33.2566
1600,1700,0.03,0.0449,1135,33.6898
1700,1800,0.03,0.0449,1102,33.1964
0,100,0.0449,0.0671,843,29.0345
100,200,0.0449,0.0671,807,28.4077
200,300,0.0449,0.0671,862,29.3598
300,400,0.0449,0.0671,806,28.3901
400,500,0.0449,0.0671,819,28.6182
500,600,0.0449,0.0671,893,29.8831
600,700,0.0449,0.0671,791,28.1247
700,800,0.0449,0.0671,838,28.9482
800,900,0.0449,0.0671,822,28.6705
900,1000,0.0449,0.0671,839,28.9655
1000,1100,0.0449,0.0671,853,29.2062
1100,1200,0.0449,0.0671,808,28.4253
1200,1300,0.0449,0.0671,823,28.688
1300,1400,0.0449,0.0671,872,29.5296
1400,1500,0.0449,0.0671,868,29.4618
1500,1600,0.0449,0.0671,795,28.1957
1600,1700,0.0449,0.0671,849,29.1376
1700,1800,0.0449,0.0671,824,28.7054
0,100,0.0671,0.1003,423,20.567
100,200,0.0671,0.1003,398,19.9499
200,300,0.0671,0.1003,405,20.1246
300,400,0.0671,0.1003,410,20.2485
400,500,0.0671,0.1003,441,21.0
500,600,0.0671,0.1003,408,20.199
600,700,0.0671,0.1003,384,19.5959
700,800,0.0671,0.1003,413,20.3224
800,900,0.0671,0.1003,436,20.8806
900,1000,0.0671,0.1003,426,20.6398
1000,1100,0.0671,0.1003,455,21.3307
1100,1200,0.0671,0.1003,419,20.4695
1200,1300,0.0671,0.1003,423,20.567
1300,1400,0.0671,0.1003,414,20.347
1400,1500,0.0671,0.1003,387,19.6723
1500,1600,0.0671,0.1003,406,20.1494
1600,1700,0.0671,0.1003,403,20.0749
1700,1800,0.0671,0.1003,447,21.1424
0,100,0.1003,0.15,185,13.6015
100,200,0.1003,0.15,183,13.5277
200,300,0.1003,0.15,217,14.7309
300,400,0.1003,0.15,191,13.8203
400,500,0.1003,0.15,200,14.1421
500,600,0.1003,0.15,210,14.4914
600,700,0.1003,0.15,197,14.0357
700,800,0.1003,0.15,190,13.784
800,900,0.1003,0.15,200,14.1421
900,1000,0.1003,0.15,207,14.3875
1000,1100,0.1003,0.15,222,14.8997
1100,1200,0.1003,0.15,218,14.7648
1200,1300,0.1003,0.15,218,14.7648
1300,1400,0.1003,0.15,210,14.4914
1400,1500,0.1003,0.15,205,14.3178
1500,1600,0.1003,0.15,198,14.0712
1600,1700,0.1003,0.15,210,14.4914
1700,1800,0.1003,0.15,209,14.4568
