TMIN,TMAX,EMIN,EMAX,COUNTS,ERROR
0,100,0.03,0.0449,1093,33.0606
100,200,0.03,0.0449,1176,34.2929
200,300,0.03,0.0449,1168,34.176
300,400,0.03,0.0449,1121,33.4813
400,500,0.03,0.0449,1108,33.2866
500,600,0.03,0.0449,1108,33.2866
600,700,0.03,0.0449,1127,33.5708
700,800,0.03,0.0449,1172,34.2345
800,900,0.03,0.0449,1158,34.0294
900,1000,0.03,0.0449,1165,34.1321
1000,1100,0.03,0.0449,1162,34.0881
1100,1200,0.03,0.0449,1166,34.1467
1200,1300,0.03,0.0449,1154,33.9706
1300,1400,0.03,0.0449,1140,33.7639
1400,1500,0.03,0.0449,1147,33.8674
1500,1600,0.03,0.0449,1153,33.9559
1600,1700,0.03,0.0449,1048,32.3728
1700,1800,0.03,0.0449,1117,33.4215
0,100,0.0449,0.0671,811,28.4781
100,200,0.0449,0.0671,800,28.2843
200,300,0.0449,0.0671,825,28.7228
300,400,0.0449,0.0671,849,29.1376
400,500,0.0449,0.0671,782,27.9643
500,600,0.0449,0.0671,785,28.0179
600,700,0.0449,0.0671,798,28.2489
700,800,0.0449,0.0671,822,28.6705
800,900,0.0449,0.0671,882,29.6985
900,1000,0.0449,0.0671,823,28.688
1000,1100,0.0449,0.0671,790,28.1069
1100,1200,0.0449,0.0671,859,29.3087
1200,1300,0.0449,0.0671,843,29.0345
1300,1400,0.0449,0.0671,816,28.5657
1400,1500,0.0449,0.0671,875,29.5804
1500,1600,0.0449,0.0671,796,28.2135
1600,1700,0.0449,0.0671,875,29.5804
1700,1800,0.0449,0.0671,811,28.4781
0,100,0.0671,0.1003,449,21.1896
100,200,0.0671,0.1003,452,21.2603
200,300,0.0671,0.1003,440,20.9762
300,400,0.0671,0.1003,423,20.567
400,500,0.0671,0.1003,438,20.9284
500,600,0.0671,0.1003,421,20.5183
600,700,0.0671,0.1003,443,21.0476
700,800,0.0671,0.1003,428,20.6882
800,900,0.0671,0.1003,401,20.025
900,1000,0.0671,0.1003,410,20.2485
1000,1100,0.0671,0.1003,423,20.567
1100,1200,0.0671,0.1003,376,19.3907
1200,1300,0.0671,0.1003,414,20.347
1300,1400,0.0671,0.1003,413,20.3224
1400,1500,0.0671,0.1003,418,20.445
1500,1600,0.0671,0.1003,444,21.0713
1600,1700,0.0671,0.1003,418,20.445
1700,1800,0.0671,0.1003,460,21.4476
0,100,0.1003,0.15,219,14.7986
100,200,0.1003,0.15,219,14.7986
200,300,0.1003,0.15,212,14.5602
300,400,0.1003,0.15,231,15.1987
400,500,0.1003,0.15,196,14.0
500,600,0.1003,0.15,173,13.1529
600,700,0.1003,0.15,216,14.6969
700,800,0.1003,0.15,200,14.1421
800,900,0.1003,0.15,181,13.4536
900,1000,0.1003,0.15,221,14.8661
1000,1100,0.1003,0.15,209,14.4568
1100,1200,0.1003,0.15,218,14.7648
1200,1300,0.1003,0.15,202,14.2127
1300,1400,0.1003,0.15,188,13.7113
1400,1500,0.1003,0.15,198,14.0712
1500,1600,0.1003,0.15,248,15.748
1600,1700,0.1003,0.15,221,14.8661
1700,1800,0.1003,0.15,241,15.5242
