TMIN,TMAX,EMIN,EMAX,COUNTS,ERROR
0,100,0.03,0.0449,1124,33.5261
100,200,0.03,0.0449,1124,33.5261
200,300,0.03,0.0449,1158,34.0294
300,400,0.03,0.0449,1167,34.1614
400,500,0.03,0.0449,1221,34.9428
500,600,0.03,0.0449,1134,33.6749
600,700,0.03,0.0449,1104,33.2265
700,800,0.03,0.0449,1155,33.9853
800,900,0.03,0.0449,1140,33.7639
900,1000,0.03,0.0449,1132,33.6452
1000,1100,0.03,0.0449,1129,33.6006
1100,1200,0.03,0.0449,1162,34.0881
1200,1300,0.03,0.0449,1191,34.5109
1300,1400,0.03,0.0449,1136,33.7046
1400,1500,0.03,0.0449,1145,33.8378
1500,1600,0.03,0.0449,1134,33.6749
1600,1700,0.03,0.0449,1198,34.6121
1700,1800,0.03,0.0449,1154,33.9706
0,100,0.0449,0.0671,810,28.4605
100,200,0.0449,0.0671,853,29.2062
200,300,0.0449,0.0671,770,27.7489
300,400,0.0449,0.0671,843,29.0345
400,500,0.0449,0.0671,850,29.1548
500,600,0.0449,0.0671,845,29.0689
600,700,0.0449,0.0671,824,28.7054
700,800,0.0449,0.0671,853,29.2062
800,900,0.0449,0.0671,871,29.5127
900,1000,0.0449,0.0671,832,28.8444
1000,1100,0.0449,0.0671,834,28.8791
1100,1200,0.0449,0.0671,836,28.9137
1200,1300,0.0449,0.0671,793,28.1603
1300,1400,0.0449,0.0671,872,29.5296
1400,1500,0.0449,0.0671,869,29.4788
1500,1600,0.0449,0.0671,820,28.6356
1600,1700,0.0449,0.0671,861,29.3428
1700,1800,0.0449,0.0671,785,28.0179
0,100,0.0671,0.1003,413,20.3224
100,200,0.0671,0.1003,409,20.2237
200,300,0.0671,0.1003,403,20.0749
300,400,0.0671,0.1003,399,19.975
400,500,0.0671,0.1003,408,20.199
500,600,0.0671,0.1003,456,21.3542
600,700,0.0671,0.1003,424,20.5913
700,800,0.0671,0.1003,400,20.0
800,900,0.0671,0.1003,462,21.4942
900,1000,0.0671,0.1003,415,20.3715
1000,1100,0.0671,0.1003,422,20.5426
1100,1200,0.0671,0.1003,418,20.445
1200,1300,0.0671,0.1003,434,20.8327
1300,1400,0.0671,0.1003,443,21.0476
1400,1500,0.0671,0.1003,448,21.166
1500,1600,0.0671,0.1003,406,20.1494
1600,1700,0.0671,0.1003,446,21.1187
1700,1800,0.0671,0.1003,436,20.8806
0,100,0.1003,0.15,211,14.5258
100,200,0.1003,0.15,200,14.1421
200,300,0.1003,0.15,210,14.4914
300,400,0.1003,0.15,221,14.8661
400,500,0.1003,0.15,201,14.1774
500,600,0.1003,0.15,210,14.4914
600,700,0.1003,0.15,233,15.2643
700,800,0.1003,0.15,190,13.784
800,900,0.1003,0.15,193,13.8924
900,1000,0.1003,0.15,201,14.1774
1000,1100,0.1003,0.15,213,14.5945
1100,1200,0.1003,0.15,221,14.8661
1200,1300,0.1003,0.15,205,14.3178
1300,1400,0.1003,0.15,213,14.5945
1400,1500,0.1003,0.15,204,14.2829
1500,1600,0.1003,0.15,191,13.8203
1600,1700,0.1003,0.15,196,14.0
1700,1800,0.1003,0.15,215,14.6629
