TMIN,TMAX,EMIN,EMAX,COUNTS,ERROR
0,100,0.03,0.0449,1152,33.9411
100,200,0.03,0.0449,1129,33.6006
200,300,0.03,0.0449,1110,33.3167
300,400,0.03,0.0449,1160,34.0588
400,500,0.03,0.0449,1177,34.3074
500,600,0.03,0.0449,1102,33.1964
600,700,0.03,0.0449,1183,34.3948
700,800,0.03,0.0449,1120,33.4664
800,900,0.03,0.0449,1136,33.7046
900,1000,0.03,0.0449,1179,34.3366
1000,1100,0.03,0.0449,1150,33.9116
1100,1200,0.03,0.0449,1119,33.4515
1200,1300,0.03,0.0449,1149,33.8969
1300,1400,0.03,0.0449,1162,34.0881
1400,1500,0.03,0.0449,1202,34.6699
1500,1600,0.03,0.0449,1163,34.1028
1600,1700,0.03,0.0449,1141,33.7787
1700,1800,0.03,0.0449,1168,34.176
0,100,0.0449,0.0671,885,29.7489
100,200,0.0449,0.0671,871,29.5127
200,300,0.0449,0.0671,850,29.1548
300,400,0.0449,0.0671,846,29.0861
400,500,0.0449,0.0671,807,28.4077
500,600,0.0449,0.0671,814,28.5307
600,700,0.0449,0.0671,879,29.6479
700,800,0.0449,0.0671,842,29.0172
800,900,0.0449,0.0671,798,28.2489
900,1000,0.0449,0.0671,861,29.3428
1000,1100,0.0449,0.0671,773,27.8029
1100,1200,0.0449,0.0671,867,29.4449
1200,1300,0.0449,0.0671,820,28.6356
1300,1400,0.0449,0.0671,859,29.3087
1400,1500,0.0449,0.0671,780,27.9285
1500,1600,0.0449,0.0671,829,28.7924
1600,1700,0.0449,0.0671,794,28.178
1700,1800,0.0449,0.0671,823,28.688
0,100,0.0671,0.1003,402,20.0499
100,200,0.0671,0.1003,419,20.4695
200,300,0.0671,0.1003,411,20.2731
300,400,0.0671,0.1003,409,20.2237
400,500,0.0671,0.1003,438,20.9284
500,600,0.0671,0.1003,450,21.2132
600,700,0.0671,0.1003,414,20.347
700,800,0.0671,0.1003,367,19.1572
800,900,0.0671,0.1003,428,20.6882
900,1000,0.0671,0.1003,423,20.567
1000,1100,0.0671,0.1003,398,19.9499
1100,1200,0.0671,0.1003,399,19.975
1200,1300,0.0671,0.1003,467,21.6102
1300,1400,0.0671,0.1003,440,20.9762
1400,1500,0.0671,0.1003,427,20.664
1500,1600,0.0671,0.1003,432,20.7846
1600,1700,0.0671,0.1003,463,21.5174
1700,1800,0.0671,0.1003,410,20.2485
0,100,0.1003,0.15,206,14.3527
100,200,0.1003,0.15,189,13.7477
200,300,0.1003,0.15,227,15.0665
300,400,0.1003,0.15,208,14.4222
400,500,0.1003,0.15,192,13.8564
500,600,0.1003,0.15,199,14.1067
600,700,0.1003,0.15,209,14.4568
700,800,0.1003,0.15,192,13.8564
800,900,0.1003,0.15,214,14.6287
900,1000,0.1003,0.15,213,14.5945
1000,1100,0.1003,0.15,192,13.8564
1100,1200,0.1003,0.15,185,13.6015
1200,1300,0.1003,0.15,221,14.8661
1300,1400,0.1003,0.15,192,13.8564
1400,1500,0.1003,0.15,191,13.8203
1500,1600,0.1003,0.15,193,13.8924
1600,1700,0.1003,0.15,233,15.2643
1700,1800,0.1003,0.15,195,13.9642
