TMIN,TMAX,EMIN,EMAX,COUNTS,ERROR
0,100,0.03,0.0449,1161,34.0735
100,200,0.03,0.0449,1076,32.8024
200,300,0.03,0.0449,1086,32.9545
300,400,0.03,0.0449,1140,33.7639
400,500,0.03,0.0449,1097,33.121
500,600,0.03,0.0449,1114,33.3766
600,700,0.03,0.0449,1195,34.5688
700,800,0.03,0.0449,1130,33.6155
800,900,0.03,0.0449,1139,33.7491
900,1000,0.03,0.0449,1163,34.1028
1000,1100,0.03,0.0449,1118,33.4365
1100,1200,0.03,0.0449,1114,33.3766
1200,1300,0.03,0.0449,1180,34.3511
1300,1400,0.03,0.0449,1174,34.2637
1400,1500,0.03,0.0449,1132,33.6452
1500,1600,0.03,0.0449,1147,33.8674
1600,1700,0.03,0.0449,1118,33.4365
1700,1800,0.03,0.0449,1080,32.8634
0,100,0.0449,0.0671,790,28.1069
100,200,0.0449,0.0671,876,29.5973
200,300,0.0449,0.0671,824,28.7054
300,400,0.0449,0.0671,779,27.9106
400,500,0.0449,0.0671,825,28.7228
500,600,0.0449,0.0671,835,28.8964
600,700,0.0449,0.0671,810,28.4605
700,800,0.0449,0.0671,825,28.7228
800,900,0.0449,0.0671,801,28.3019
900,1000,0.0449,0.0671,803,28.3373
1000,1100,0.0449,0.0671,817,28.5832
1100,1200,0.0449,0.0671,875,29.5804
1200,1300,0.0449,0.0671,854,29.2233
1300,1400,0.0449,0.0671,775,27.8388
1400,1500,0.0449,0.0671,847,29.1033
1500,1600,0.0449,0.0671,800,28.2843
1600,1700,0.0449,0.0671,852,29.189
1700,1800,0.0449,0.0671,808,28.4253
0,100,0.0671,0.1003,400,20.0
100,200,0.0671,0.1003,414,20.347
200,300,0.0671,0.1003,427,20.664
300,400,0.0671,0.1003,384,19.5959
400,500,0.0671,0.1003,451,21.2368
500,600,0.0671,0.1003,447,21.1424
600,700,0.0671,0.1003,439,20.9523
700,800,0.0671,0.1003,397,19.9249
800,900,0.0671,0.1003,410,20.2485
900,1000,0.0671,0.1003,410,20.2485
1000,1100,0.0671,0.1003,445,21.095
1100,1200,0.0671,0.1003,416,20.3961
1200,1300,0.0671,0.1003,413,20.3224
1300,1400,0.0671,0.1003,415,20.3715
1400,1500,0.0671,0.1003,401,20.025
1500,1600,0.0671,0.1003,440,20.9762
1600,1700,0.0671,0.1003,430,20.7364
1700,1800,0.0671,0.1003,426,20.6398
0,100,0.1003,0.15,208,14.4222
100,200,0.1003,0.15,205,14.3178
200,300,0.1003,0.15,193,13.8924
300,400,0.1003,0.15,202,14.2127
400,500,0.1003,0.15,194,13.9284
500,600,0.1003,0.15,211,14.5258
600,700,0.1003,0.15,205,14.3178
700,800,0.1003,0.15,197,14.0357
800,900,0.1003,0.15,220,14.8324
900,1000,0.1003,0.15,219,14.7986
1000,1100,0.1003,0.15,228,15.0997
1100,1200,0.1003,0.15,192,13.8564
1200,1300,0.1003,0.15,195,13.9642
1300,1400,0.1003,0.15,225,15.0
1400,1500,0.1003,0.15,218,14.7648
1500,1600,0.1003,0.15,208,14.4222
1600,1700,0.1003,0.15,182,13.4907
1700,1800,0.1003,0.15,190,13.784
