TMIN,TMAX,EMIN,EMAX,COUNTS,ERROR
0,100,0.03,0.0449,1181,34.3657
100,200,0.03,0.0449,1123,33.5112
200,300,0.03,0.0449,1187,34.4529
300,400,0.03,0.0449,1134,33.6749
400,500,0.03,0.0449,1141,33.7787
500,600,0.03,0.0449,1148,33.8821
600,700,0.03,0.0449,1125,33.541
700,800,0.03,0.0449,1160,34.0588
800,900,0.03,0.0449,1192,34.5254
900,1000,0.03,0.0449,1099,33.1512
1000,1100,0.03,0.0449,1138,33.7343
1100,1200,0.03,0.0449,1147,33.8674
1200,1300,0.03,0.0449,1130,33.6155
1300,1400,0.03,0.0449,1144,33.8231
1400,1500,0.03,0.0449,1147,33.8674
1500,1600,0.03,0.0449,1085,32.9393
1600,1700,0.03,0.0449,1147,33.8674
1700,1800,0.03,0.0449,1148,33.8821
0,100,0.0449,0.0671,834,28.8791
100,200,0.0449,0.0671,846,29.0861
200,300,0.0449,0.0671,865,29.4109
300,400,0.0449,0.0671,899,29.9833
400,500,0.0449,0.0671,836,28.9137
500,600,0.0449,0.0671,835,28.8964
600,700,0.0449,0.0671,802,28.3196
700,800,0.0449,0.0671,787,28.0535
800,900,0.0449,0.0671,812,28.4956
900,1000,0.0449,0.0671,793,28.1603
1000,1100,0.0449,0.0671,830,28.8097
1100,1200,0.0449,0.0671,906,30.0998
1200,1300,0.0449,0.0671,798,28.2489
1300,1400,0.0449,0.0671,873,29.5466
1400,1500,0.0449,0.0671,852,29.189
1500,1600,0.0449,0.0671,853,29.2062
1600,1700,0.0449,0.0671,852,29.189
1700,1800,0.0449,0.0671,800,28.2843
0,100,0.0671,0.1003,436,20.8806
100,200,0.0671,0.1003,408,20.199
200,300,0.0671,0.1003,453,21.2838
300,400,0.0671,0.1003,444,21.0713
400,500,0.0671,0.1003,402,20.0499
500,600,0.0671,0.1003,442,21.0238
600,700,0.0671,0.1003,413,20.3224
700,800,0.0671,0.1003,409,20.2237
800,900,0.0671,0.1003,437,20.9045
900,1000,0.0671,0.1003,456,21.3542
1000,1100,0.0671,0.1003,429,20.7123
1100,1200,0.0671,0.1003,443,21.0476
1200,1300,0.0671,0.1003,426,20.6398
1300,1400,0.0671,0.1003,392,19.799
1400,1500,0.0671,0.1003,437,20.9045
1500,1600,0.0671,0.1003,432,20.7846
1600,1700,0.0671,0.1003,395,19.8746
1700,1800,0.0671,0.1003,421,20.5183
0,100,0.1003,0.15,188,13.7113
100,200,0.1003,0.15,200,14.1421
200,300,0.1003,0.15,222,14.8997
300,400,0.1003,0.15,219,14.7986
400,500,0.1003,0.15,240,15.4919
500,600,0.1003,0.15,190,13.784
600,700,0.1003,0.15,218,14.7648
700,800,0.1003,0.15,205,14.3178
800,900,0.1003,0.15,198,14.0712
900,1000,0.1003,0.15,237,15.3948
1000,1100,0.1003,0.15,207,14.3875
1100,1200,0.1003,0.15,228,15.0997
1200,1300,0.1003,0.15,227,15.0665
1300,1400,0.1003,0.15,233,15.2643
1400,1500,0.1003,0.15,209,14.4568
1500,1600,0.1003,0.15,213,14.5945
1600,1700,0.1003,0.15,214,14.6287
1700,1800,0.1003,0.15,211,14.5258
