TMIN,TMAX,EMIN,EMAX,COUNTS,ERROR
0,100,0.03,0.0449,1115,33.3916
100,200,0.03,0.0449,1171,34.2199
200,300,0.03,0.0449,1144,33.8231
300,400,0.03,0.0449,1161,34.0735
400,500,0.03,0.0449,1145,33.8378
500,600,0.03,0.0449,1135,33.6898
600,700,0.03,0.0449,1097,33.121
700,800,0.03,0.0449,1122,33.4963
800,900,0.03,0.0449,1097,33.121
900,1000,0.03,0.0449,1163,34.1028
1000,1100,0.03,0.0449,1203,34.6843
1100,1200,0.03,0.0449,1198,34.6121
1200,1300,0.03,0.0449,1181,34.3657
1300,1400,0.03,0.0449,1116,33.4066
1400,1500,0.03,0.0449,1156,34.0
1500,1600,0.03,0.0449,1147,33.8674
1600,1700,0.03,0.0449,1139,33.7491
1700,1800,0.03,0.0449,1119,33.4515
0,100,0.0449,0.0671,844,29.0517
100,200,0.0449,0.0671,827,28.7576
200,300,0.0449,0.0671,832,28.8444
300,400,0.0449,0.0671,800,28.2843
400,500,0.0449,0.0671,845,29.0689
500,600,0.0449,0.0671,816,28.5657
600,700,0.0449,0.0671,844,29.0517
700,800,0.0449,0.0671,861,29.3428
800,900,0.0449,0.0671,790,28.1069
900,1000,0.0449,0.0671,851,29.1719
1000,1100,0.0449,0.0671,853,29.2062
1100,1200,0.0449,0.0671,823,28.688
1200,1300,0.0449,0.0671,799,28.2666
1300,1400,0.0449,0.0671,839,28.9655
1400,1500,0.0449,0.0671,878,29.6311
1500,1600,0.0449,0.0671,898,29.9666
1600,1700,0.0449,0.0671,845,29.0689
1700,1800,0.0449,0.0671,864,29.3939
0,100,0.0671,0.1003,433,20.8087
100,200,0.0671,0.1003,413,20.3224
200,300,0.0671,0.1003,431,20.7605
300,400,0.0671,0.1003,451,21.2368
400,500,0.0671,0.1003,432,20.7846
500,600,0.0671,0.1003,430,20.7364
600,700,0.0671,0.1003,437,20.9045
700,800,0.0671,0.1003,398,19.9499
800,900,0.0671,0.1003,408,20.199
900,1000,0.0671,0.1003,404,20.0998
1000,1100,0.0671,0.1003,446,21.1187
1100,1200,0.0671,0.1003,402,20.0499
1200,1300,0.0671,0.1003,439,20.9523
1300,1400,0.0671,0.1003,436,20.8806
1400,1500,0.0671,0.1003,398,19.9499
1500,1600,0.0671,0.1003,436,20.8806
1600,1700,0.0671,0.1003,475,21.7945
1700,1800,0.0671,0.1003,386,19.6469
0,100,0.1003,0.15,209,14.4568
100,200,0.1003,0.15,201,14.1774
200,300,0.1003,0.15,208,14.4222
300,400,0.1003,0.15,224,14.9666
400,500,0.1003,0.15,235,15.3297
500,600,0.1003,0.15,190,13.784
600,700,0.1003,0.15,222,14.8997
700,800,0.1003,0.15,215,14.6629
800,900,0.1003,0.15,212,14.5602
900,1000,0.1003,0.15,192,13.8564
1000,1100,0.1003,0.15,213,14.5945
1100,1200,0.1003,0.15,233,15.2643
1200,1300,0.1003,0.15,206,14.3527
1300,1400,0.1003,0.15,217,14.7309
1400,1500,0.1003,0.15,212,14.5602
1500,1600,0.1003,0.15,222,14.8997
1600,1700,0.1003,0.15,235,15.3297
1700,1800,0.1003,0.15,208,14.4222
