TMIN,TMAX,EMIN,EMAX,COUNTS,ERROR
0,100,0.03,0.0449,1182,34.3802
100,200,0.03,0.0449,1162,34.0881
200,300,0.03,0.0449,1138,33.7343
300,400,0.03,0.0449,1154,33.9706
400,500,0.03,0.0449,1102,33.1964
500,600,0.03,0.0449,1124,33.5261
600,700,0.03,0.0449,1146,33.8526
700,800,0.03,0.0449,1171,34.2199
800,900,0.03,0.0449,1135,33.6898
900,1000,0.03,0.0449,1112,33.3467
1000,1100,0.03,0.0449,1111,33.3317
1100,1200,0.03,0.0449,1083,32.909
1200,1300,0.03,0.0449,1122,33.4963
1300,1400,0.03,0.0449,1177,34.3074
1400,1500,0.03,0.0449,1202,34.6699
1500,1600,0.03,0.0449,1114,33.3766
1600,1700,0.03,0.0449,1163,34.1028
1700,1800,0.03,0.0449,1175,34.2783
0,100,0.0449,0.0671,838,28.9482
100,200,0.0449,0.0671,842,29.0172
200,300,0.0449,0.0671,807,28.4077
300,400,0.0449,0.0671,792,28.1425
400,500,0.0449,0.0671,851,29.1719
500,600,0.0449,0.0671,863,29.3769
600,700,0.0449,0.0671,807,28.4077
700,800,0.0449,0.0671,803,28.3373
800,900,0.0449,0.0671,844,29.0517
900,1000,0.0449,0.0671,805,28.3725
1000,1100,0.0449,0.0671,798,28.2489
1100,1200,0.0449,0.0671,864,29.3939
1200,1300,0.0449,0.0671,826,28.7402
1300,1400,0.0449,0.0671,825,28.7228
1400,1500,0.0449,0.0671,868,29.4618
1500,1600,0.0449,0.0671,817,28.5832
1600,1700,0.0449,0.0671,856,29.2575
1700,1800,0.0449,0.0671,855,29.2404
0,100,0.0671,0.1003,421,20.5183
100,200,0.0671,0.1003,431,20.7605
200,300,0.0671,0.1003,421,20.5183
300,400,0.0671,0.1003,415,20.3715
400,500,0.0671,0.1003,417,20.4206
500,600,0.0671,0.1003,448,21.166
600,700,0.0671,0.1003,426,20.6398
700,800,0.0671,0.1003,394,19.8494
800,900,0.0671,0.1003,398,19.9499
900,1000,0.0671,0.1003,396,19.8997
1000,1100,0.0671,0.1003,424,20.5913
1100,1200,0.0671,0.1003,431,20.7605
1200,1300,0.0671,0.1003,435,20.8567
1300,1400,0.0671,0.1003,410,20.2485
1400,1500,0.0671,0.1003,400,20.0
1500,1600,0.0671,0.1003,412,20.2978
1600,1700,0.0671,0.1003,444,21.0713
1700,1800,0.0671,0.1003,417,20.4206
0,100,0.1003,0.15,208,14.4222
100,200,0.1003,0.15,224,14.9666
200,300,0.1003,0.15,221,14.8661
300,400,0.1003,0.15,206,14.3527
400,500,0.1003,0.15,213,14.5945
500,600,0.1003,0.15,226,15.0333
600,700,0.1003,0.15,232,15.2315
700,800,0.1003,0.15,209,14.4568
800,900,0.1003,0.15,221,14.8661
900,1000,0.1003,0.15,197,14.0357
1000,1100,0.1003,0.15,212,14.5602
1100,1200,0.1003,0.15,198,14.0712
1200,1300,0.1003,0.15,208,14.4222
1300,1400,0.1003,0.15,211,14.5258
1400,1500,0.1003,0.15,210,14.4914
1500,1600,0.1003,0.15,233,15.2643
1600,1700,0.1003,0.15,189,13.7477
1700,1800,0.1003,0.15,209,14.4568
