TMIN,TMAX,EMIN,EMAX,COUNTS,ERROR
0,100,0.03,0.0449,1109,33.3017
100,200,0.03,0.0449,1152,33.9411
200,300,0.03,0.0449,1137,33.7194
300,400,0.03,0.0449,1131,33.6303
400,500,0.03,0.0449,1118,33.4365
500,600,0.03,0.0449,1099,33.1512
600,700,0.03,0.0449,1149,33.8969
700,800,0.03,0.0449,1198,34.6121
800,900,0.03,0.0449,1163,34.1028
900,1000,0.03,0.0449,1143,33.8083
1000,1100,0.03,0.0449,1170,34.2053
1100,1200,0.03,0.0449,1203,34.6843
1200,1300,0.03,0.0449,1122,33.4963
1300,1400,0.03,0.0449,1135,33.6898
1400,1500,0.03,0.0449,1102,33.1964
1500,1600,0.03,0.0449,1176,34.2929
1600,1700,0.03,0.0449,1158,34.0294
1700,1800,0.03,0.0449,1168,34.176
0,100,0.0449,0.0671,853,29.2062
100,200,0.0449,0.0671,823,28.688
200,300,0.0449,0.0671,847,29.1033
300,400,0.0449,0.0671,761,27.5862
400,500,0.0449,0.0671,823,28.688
500,600,0.0449,0.0671,883,29.7153
600,700,0.0449,0.0671,827,28.7576
700,800,0.0449,0.0671,779,27.9106
800,900,0.0449,0.0671,909,30.1496
900,1000,0.0449,0.0671,815,28.5482
1000,1100,0.0449,0.0671,845,29.0689
1100,1200,0.0449,0.0671,830,28.8097
1200,1300,0.0449,0.0671,892,29.8664
1300,1400,0.0449,0.0671,789,28.0891
1400,1500,0.0449,0.0671,851,29.1719
1500,1600,0.0449,0.0671,853,29.2062
1600,1700,0.0449,0.0671,829,28.7924
1700,1800,0.0449,0.0671,859,29.3087
0,100,0.0671,0.1003,463,21.5174
100,200,0.0671,0.1003,391,19.7737
200,300,0.0671,0.1003,419,20.4695
300,400,0.0671,0.1003,419,20.4695
400,500,0.0671,0.1003,471,21.7025
500,600,0.0671,0.1003,383,19.5704
600,700,0.0671,0.1003,399,19.975
700,800,0.0671,0.1003,467,21.6102
800,900,0.0671,0.1003,425,20.6155
900,1000,0.0671,0.1003,410,20.2485
1000,1100,0.0671,0.1003,423,20.567
1100,1200,0.0671,0.1003,435,20.8567
1200,1300,0.0671,0.1003,450,21.2132
1300,1400,0.0671,0.1003,451,21.2368
1400,1500,0.0671,0.1003,395,19.8746
1500,1600,0.0671,0.1003,412,20.2978
1600,1700,0.0671,0.1003,399,19.975
1700,1800,0.0671,0.1003,430,20.7364
0,100,0.1003,0.15,201,14.1774
100,200,0.1003,0.15,215,14.6629
200,300,0.1003,0.15,229,15.1327
300,400,0.1003,0.15,198,14.0712
400,500,0.1003,0.15,190,13.784
500,600,0.1003,0.15,218,14.7648
600,700,0.1003,0.15,184,13.5647
700,800,0.1003,0.15,234,15.2971
800,900,0.1003,0.15,203,14.2478
900,1000,0.1003,0.15,203,14.2478
1000,1100,0.1003,0.15,219,14.7986
1100,1200,0.1003,0.15,215,14.6629
1200,1300,0.1003,0.15,231,15.1987
1300,1400,0.1003,0.15,239,15.4596
1400,1500,0.1003,0.15,208,14.4222
1500,1600,0.1003,0.15,206,14.3527
1600,1700,0.1003,0.15,203,14.2478
1700,1800,0.1003,0.15,191,13.8203
