TMIN,TMAX,EMIN,EMAX,COUNTS,ERROR
0,100,0.03,0.0449,1118,33.4365
100,200,0.03,0.0449,1180,34.3511
200,300,0.03,0.0449,1149,33.8969
300,400,0.03,0.0449,1135,33.6898
400,500,0.03,0.0449,1123,33.5112
500,600,0.03,0.0449,1132,33.6452
600,700,0.03,0.0449,1156,34.0
700,800,0.03,0.0449,1178,34.322
800,900,0.03,0.0449,1128,33.5857
900,1000,0.03,0.0449,1217,34.8855
1000,1100,0.03,0.0449,1199,34.6266
1100,1200,0.03,0.0449,1120,33.4664
1200,1300,0.03,0.0449,1131,33.6303
1300,1400,0.03,0.0449,1186,34.4384
1400,1500,0.03,0.0449,1106,33.2566
1500,1600,0.03,0.0449,1129,33.6006
1600,1700,0.03,0.0449,1192,34.5254
1700,1800,0.03,0.0449,1194,34.5543
0,100,0.0449,0.0671,864,29.3939
100,200,0.0449,0.0671,827,28.7576
200,300,0.0449,0.0671,838,28.9482
300,400,0.0449,0.0671,811,28.4781
400,500,0.0449,0.0671,845,29.0689
500,600,0.0449,0.0671,864,29.3939
600,700,0.0449,0.0671,927,30.4467
700,800,0.0449,0.0671,753,27.4408
800,900,0.0449,0.0671,797,28.2312
900,1000,0.0449,0.0671,845,29.0689
1000,1100,0.0449,0.0671,827,28.7576
1100,1200,0.0449,0.0671,831,28.8271
1200,1300,0.0449,0.0671,813,28.5132
1300,1400,0.0449,0.0671,813,28.5132
1400,1500,0.0449,0.0671,809,28.4429
1500,1600,0.0449,0.0671,846,29.0861
1600,1700,0.0449,0.0671,815,28.5482
1700,1800,0.0449,0.0671,836,28.9137
0,100,0.0671,0.1003,421,20.5183
100,200,0.0671,0.1003,453,21.2838
200,300,0.0671,0.1003,414,20.347
300,400,0.0671,0.1003,409,20.2237
400,500,0.0671,0.1003,429,20.7123
500,600,0.0671,0.1003,421,20.5183
600,700,0.0671,0.1003,435,20.8567
700,800,0.0671,0.1003,424,20.5913
800,900,0.0671,0.1003,445,21.095
900,1000,0.0671,0.1003,419,20.4695
1000,1100,0.0671,0.1003,404,20.0998
1100,1200,0.0671,0.1003,425,20.6155
1200,1300,0.0671,0.1003,403,20.0749
1300,1400,0.0671,0.1003,432,20.7846
1400,1500,0.0671,0.1003,437,20.9045
1500,1600,0.0671,0.1003,439,20.9523
1600,1700,0.0671,0.1003,438,20.9284
1700,1800,0.0671,0.1003,416,20.3961
0,100,0.1003,0.15,229,15.1327
100,200,0.1003,0.15,229,15.1327
200,300,0.1003,0.15,214,14.6287
300,400,0.1003,0.15,200,14.1421
400,500,0.1003,0.15,196,14.0
500,600,0.1003,0.15,240,15.4919
600,700,0.1003,0.15,200,14.1421
700,800,0.1003,0.15,217,14.7309
800,900,0.1003,0.15,218,14.7648
900,1000,0.1003,0.15,190,13.784
1000,1100,0.1003,0.15,223,14.9332
1100,1200,0.1003,0.15,219,14.7986
1200,1300,0.1003,0.15,182,13.4907
1300,1400,0.1003,0.15,236,15.3623
1400,1500,0.1003,0.15,203,14.2478
1500,1600,0.1003,0.15,219,14.7986
1600,1700,0.1003,0.15,202,14.2127
1700,1800,0.1003,0.15,210,14.4914
