TMIN,TMAX,EMIN,EMAX,COUNTS,ERROR
0,100,0.03,0.0449,1103,33.2114
100,200,0.03,0.0449,1183,34.3948
200,300,0.03,0.0449,1124,33.5261
300,400,0.03,0.0449,1149,33.8969
400,500,0.03,0.0449,1146,33.8526
500,600,0.03,0.0449,1182,34.3802
600,700,0.03,0.0449,1113,33.3617
700,800,0.03,0.0449,1180,34.3511
800,900,0.03,0.0449,1172,34.2345
900,1000,0.03,0.0449,1146,33.8526
1000,1100,0.03,0.0449,1137,33.7194
1100,1200,0.03,0.0449,1100,33.1662
1200,1300,0.03,0.0449,1162,34.0881
1300,1400,0.03,0.0449,1127,33.5708
1400,1500,0.03,0.0449,1132,33.6452
1500,1600,0.03,0.0449,1141,33.7787
1600,1700,0.03,0.0449,1098,33.1361
1700,1800,0.03,0.0449,1124,33.5261
0,100,0.0449,0.0671,830,28.8097
100,200,0.0449,0.0671,845,29.0689
200,300,0.0449,0.0671,828,28.775
300,400,0.0449,0.0671,753,27.4408
400,500,0.0449,0.0671,870,29.4958
500,600,0.0449,0.0671,786,28.0357
600,700,0.0449,0.0671,796,28.2135
700,800,0.0449,0.0671,825,28.7228
800,900,0.0449,0.0671,828,28.775
900,1000,0.0449,0.0671,872,29.5296
1000,1100,0.0449,0.0671,849,29.1376
1100,1200,0.0449,0.0671,857,29.2746
1200,1300,0.0449,0.0671,875,29.5804
1300,1400,0.0449,0.0671,841,29.0
1400,1500,0.0449,0.0671,873,29.5466
1500,1600,0.0449,0.0671,845,29.0689
1600,1700,0.0449,0.0671,827,28.7576
1700,1800,0.0449,0.0671,892,29.8664
0,100,0.0671,0.1003,411,20.2731
100,200,0.0671,0.1003,443,21.0476
200,300,0.0671,0.1003,395,19.8746
300,400,0.0671,0.1003,438,20.9284
400,500,0.0671,0.1003,438,20.9284
500,600,0.0671,0.1003,421,20.5183
600,700,0.0671,0.1003,441,21.0
700,800,0.0671,0.1003,434,20.8327
800,900,0.0671,0.1003,446,21.1187
900,1000,0.0671,0.1003,455,21.3307
1000,1100,0.0671,0.1003,406,20.1494
1100,1200,0.0671,0.1003,401,20.025
1200,1300,0.0671,0.1003,431,20.7605
1300,1400,0.0671,0.1003,463,21.5174
1400,1500,0.0671,0.1003,443,21.0476
1500,1600,0.0671,0.1003,423,20.567
1600,1700,0.0671,0.1003,447,21.1424
1700,1800,0.0671,0.1003,379,19.4679
0,100,0.1003,0.15,205,14.3178
100,200,0.1003,0.15,213,14.5945
200,300,0.1003,0.15,186,13.6382
300,400,0.1003,0.15,200,14.1421
400,500,0.1003,0.15,211,14.5258
500,600,0.1003,0.15,204,14.2829
600,700,0.1003,0.15,223,14.9332
700,800,0.1003,0.15,233,15.2643
800,900,0.1003,0.15,219,14.7986
900,1000,0.1003,0.15,191,13.8203
1000,1100,0.1003,0.15,197,14.0357
1100,1200,0.1003,0.15,223,14.9332
1200,1300,0.1003,0.15,208,14.4222
1300,1400,0.1003,0.15,187,13.6748
1400,1500,0.1003,0.15,207,14.3875
1500,1600,0.1003,0.15,200,14.1421
1600,1700,0.1003,0.15,160,12.6491
1700,1800,0.1003,0.15,225,15.0
