TMIN,TMAX,EMIN,EMAX,COUNTS,ERROR
0,100,0.03,0.0449,1165,34.1321
100,200,0.03,0.0449,1183,34.3948
200,300,0.03,0.0449,1126,33.5559
300,400,0.03,0.0449,1201,34.6554
400,500,0.03,0.0449,1090,33.0151
500,600,0.03,0.0449,1140,33.7639
600,700,0.03,0.0449,1129,33.6006
700,800,0.03,0.0449,1196,34.5832
800,900,0.03,0.0449,1109,33.3017
900,1000,0.03,0.0449,1144,33.8231
1000,1100,0.03,0.0449,1115,33.3916
1100,1200,0.03,0.0449,1111,33.3317
1200,1300,0.03,0.0449,1115,33.3916
1300,1400,0.03,0.0449,1124,33.5261
1400,1500,0.03,0.0449,1104,33.2265
1500,1600,0.03,0.0449,1150,33.9116
1600,1700,0.03,0.0449,1132,33.6452
1700,1800,0.03,0.0449,1169,34.1906
0,100,0.0449,0.0671,854,29.2233
100,200,0.0449,0.0671,796,28.2135
200,300,0.0449,0.0671,834,28.8791
300,400,0.0449,0.0671,815,28.5482
400,500,0.0449,0.0671,853,29.2062
500,600,0.0449,0.0671,824,28.7054
600,700,0.0449,0.0671,808,28.4253
700,800,0.0449,0.0671,817,28.5832
800,900,0.0449,0.0671,832,28.8444
900,1000,0.0449,0.0671,827,28.7576
1000,1100,0.0449,0.0671,853,29.2062
1100,1200,0.0449,0.0671,877,29.6142
1200,1300,0.0449,0.0671,827,28.7576
1300,1400,0.0449,0.0671,849,29.1376
1400,1500,0.0449,0.0671,868,29.4618
1500,1600,0.0449,0.0671,821,28.6531
1600,1700,0.0449,0.0671,842,29.0172
1700,1800,0.0449,0.0671,849,29.1376
0,100,0.0671,0.1003,419,20.4695
100,200,0.0671,0.1003,461,21.4709
200,300,0.0671,0.1003,435,20.8567
300,400,0.0671,0.1003,416,20.3961
400,500,0.0671,0.1003,406,20.1494
500,600,0.0671,0.1003,437,20.9045
600,700,0.0671,0.1003,405,20.1246
700,800,0.0671,0.1003,423,20.567
800,900,0.0671,0.1003,407,20.1742
900,1000,0.0671,0.1003,408,20.199
1000,1100,0.0671,0.1003,468,21.6333
1100,1200,0.0671,0.1003,394,19.8494
1200,1300,0.0671,0.1003,397,19.9249
1300,1400,0.0671,0.1003,428,20.6882
1400,1500,0.0671,0.1003,452,21.2603
1500,1600,0.0671,0.1003,426,20.6398
1600,1700,0.0671,0.1003,450,21.2132
1700,1800,0.0671,0.1003,418,20.445
0,100,0.1003,0.15,211,14.5258
100,200,0.1003,0.15,203,14.2478
200,300,0.1003,0.15,199,14.1067
300,400,0.1003,0.15,226,15.0333
400,500,0.1003,0.15,206,14.3527
500,600,0.1003,0.15,199,14.1067
600,700,0.1003,0.15,212,14.5602
700,800,0.1003,0.15,206,14.3527
800,900,0.1003,0.15,195,13.9642
900,1000,0.1003,0.15,204,14.2829
1000,1100,0.1003,0.15,203,14.2478
1100,1200,0.1003,0.15,211,14.5258
1200,1300,0.1003,0.15,219,14.7986
1300,1400,0.1003,0.15,198,14.0712
1400,1500,0.1003,0.15,212,14.5602
1500,1600,0.1003,0.15,210,14.4914
1600,1700,0.1003,0.15,217,14.7309
1700,1800,0.1003,0.15,223,14.9332
