TMIN,TMAX,EMIN,EMAX,COUNTS,ERROR
0,100,0.03,0.0449,1161,34.0735
100,200,0.03,0.0449,1181,34.3657
200,300,0.03,0.0449,1130,33.6155
300,400,0.03,0.0449,1145,33.8378
400,500,0.03,0.0449,1145,33.8378
500,600,0.03,0.0449,1154,33.9706
600,700,0.03,0.0449,1180,34.3511
700,800,0.03,0.0449,1127,33.5708
800,900,0.03,0.0449,1126,33.5559
900,1000,0.03,0.0449,1197,34.5977
1000,1100,0.03,0.0449,1118,33.4365
1100,1200,0.03,0.0449,1152,33.9411
1200,1300,0.03,0.0449,1110,33.3167
1300,1400,0.03,0.0449,1161,34.0735
1400,1500,0.03,0.0449,1125,33.541
1500,1600,0.03,0.0449,1194,34.5543
1600,1700,0.03,0.0449,1138,33.7343
1700,1800,0.03,0.0449,1124,33.5261
0,100,0.0449,0.0671,852,29.189
100,200,0.0449,0.0671,831,28.8271
200,300,0.0449,0.0671,830,28.8097
300,400,0.0449,0.0671,866,29.4279
400,500,0.0449,0.0671,860,29.3258
500,600,0.0449,0.0671,819,28.6182
600,700,0.0449,0.0671,741,27.2213
700,800,0.0449,0.0671,825,28.7228
800,900,0.0449,0.0671,830,28.8097
900,1000,0.0449,0.0671,832,28.8444
1000,1100,0.0449,0.0671,828,28.775
1100,1200,0.0449,0.0671,847,29.1033
1200,1300,0.0449,0.0671,903,30.05
1300,1400,0.0449,0.0671,842,29.0172
1400,1500,0.0449,0.0671,799,28.2666
1500,1600,0.0449,0.0671,854,29.2233
1600,1700,0.0449,0.0671,842,29.0172
1700,1800,0.0449,0.0671,824,28.7054
0,100,0.0671,0.1003,416,20.3961
100,200,0.0671,0.1003,421,20.5183
200,300,0.0671,0.1003,416,20.3961
300,400,0.0671,0.1003,396,19.8997
400,500,0.0671,0.1003,399,19.975
500,600,0.0671,0.1003,423,20.567
600,700,0.0671,0.1003,446,21.1187
700,800,0.0671,0.1003,471,21.7025
800,900,0.0671,0.1003,443,21.0476
900,1000,0.0671,0.1003,459,21.4243
1000,1100,0.0671,0.1003,445,21.095
1100,1200,0.0671,0.1003,437,20.9045
1200,1300,0.0671,0.1003,412,20.2978
1300,1400,0.0671,0.1003,457,21.3776
1400,1500,0.0671,0.1003,422,20.5426
1500,1600,0.0671,0.1003,454,21.3073
1600,1700,0.0671,0.1003,409,20.2237
1700,1800,0.0671,0.1003,453,21.2838
0,100,0.1003,0.15,198,14.0712
100,200,0.1003,0.15,201,14.1774
200,300,0.1003,0.15,207,14.3875
300,400,0.1003,0.15,220,14.8324
400,500,0.1003,0.15,222,14.8997
500,600,0.1003,0.15,202,14.2127
600,700,0.1003,0.15,202,14.2127
700,800,0.1003,0.15,213,14.5945
800,900,0.1003,0.15,195,13.9642
900,1000,0.1003,0.15,228,15.0997
1000,1100,0.1003,0.15,215,14.6629
1100,1200,0.1003,0.15,215,14.6629
1200,1300,0.1003,0.15,208,14.4222
1300,1400,0.1003,0.15,201,14.1774
1400,1500,0.1003,0.15,209,14.4568
1500,1600,0.1003,0.15,196,14.0
1600,1700,0.1003,0.15,190,13.784
1700,1800,0.1003,0.15,207,14.3875
