TMIN,TMAX,EMIN,EMAX,COUNTS,ERROR
0,100,0.03,0.0449,1099,33.1512
100,200,0.03,0.0449,1144,33.8231
200,300,0.03,0.0449,1122,33.4963
300,400,0.03,0.0449,1135,33.6898
400,500,0.03,0.0449,1180,34.3511
500,600,0.03,0.0449,1114,33.3766
600,700,0.03,0.0449,1123,33.5112
700,800,0.03,0.0449,1134,33.6749
800,900,0.03,0.0449,1165,34.1321
900,1000,0.03,0.0449,1124,33.5261
1000,1100,0.03,0.0449,1178,34.322
1100,1200,0.03,0.0449,1161,34.0735
1200,1300,0.03,0.0449,1100,33.1662
1300,1400,0.03,0.0449,1149,33.8969
1400,1500,0.03,0.0449,1135,33.6898
1500,1600,0.03,0.0449,1127,33.5708
1600,1700,0.03,0.0449,1104,33.2265
1700,1800,0.03,0.0449,1117,33.4215
0,100,0.0449,0.0671,831,28.8271
100,200,0.0449,0.0671,853,29.2062
200,300,0.0449,0.0671,857,29.2746
300,400,0.0449,0.0671,817,28.5832
400,500,0.0449,0.0671,837,28.931
500,600,0.0449,0.0671,847,29.1033
600,700,0.0449,0.0671,796,28.2135
700,800,0.0449,0.0671,835,28.8964
800,900,0.0449,0.0671,818,28.6007
900,1000,0.0449,0.0671,824,28.7054
1000,1100,0.0449,0.0671,790,28.1069
1100,1200,0.0449,0.0671,821,28.6531
1200,1300,0.0449,0.0671,834,28.8791
1300,1400,0.0449,0.0671,811,28.4781
1400,1500,0.0449,0.0671,884,29.7321
1500,1600,0.0449,0.0671,866,29.4279
1600,1700,0.0449,0.0671,859,29.3087
1700,1800,0.0449,0.0671,788,28.0713
0,100,0.0671,0.1003,431,20.7605
100,200,0.0671,0.1003,419,20.4695
200,300,0.0671,0.1003,434,20.8327
300,400,0.0671,0.1003,429,20.7123
400,500,0.0671,0.1003,389,19.7231
500,600,0.0671,0.1003,406,20.1494
600,700,0.0671,0.1003,421,20.5183
700,800,0.0671,0.1003,424,20.5913
800,900,0.0671,0.1003,419,20.4695
900,1000,0.0671,0.1003,420,20.4939
1000,1100,0.0671,0.1003,439,20.9523
1100,1200,0.0671,0.1003,424,20.5913
1200,1300,0.0671,0.1003,420,20.4939
1300,1400,0.0671,0.1003,446,21.1187
1400,1500,0.0671,0.1003,443,21.0476
1500,1600,0.0671,0.1003,416,20.3961
1600,1700,0.0671,0.1003,444,21.0713
1700,1800,0.0671,0.1003,422,20.5426
0,100,0.1003,0.15,206,14.3527
100,200,0.1003,0.15,216,14.6969
200,300,0.1003,0.15,211,14.5258
300,400,0.1003,0.15,217,14.7309
400,500,0.1003,0.15,219,14.7986
500,600,0.1003,0.15,207,14.3875
600,700,0.1003,0.15,184,13.5647
700,800,0.1003,0.15,207,14.3875
800,900,0.1003,0.15,219,14.7986
900,1000,0.1003,0.15,219,14.7986
1000,1100,0.1003,0.15,204,14.2829
1100,1200,0.1003,0.15,196,14.0
1200,1300,0.1003,0.15,194,13.9284
1300,1400,0.1003,0.15,207,14.3875
1400,1500,0.1003,0.15,221,14.8661
1500,1600,0.1003,0.15,220,14.8324
1600,1700,0.1003,0.15,207,14.3875
1700,1800,0.1003,0.15,231,15.1987
