TMIN,TMAX,EMIN,EMAX,COUNTS,ERROR
0,100,0.03,0.0449,1152,33.9411
100,200,0.03,0.0449,1148,33.8821
200,300,0.03,0.0449,1103,33.2114
300,400,0.03,0.0449,1069,32.6956
400,500,0.03,0.0449,1132,33.6452
500,600,0.03,0.0449,1115,33.3916
600,700,0.03,0.0449,1207,34.7419
700,800,0.03,0.0449,1161,34.0735
800,900,0.03,0.0449,1162,34.0881
900,1000,0.03,0.0449,1159,34.0441
1000,1100,0.03,0.0449,1165,34.1321
1100,1200,0.03,0.0449,1193,34.5398
1200,1300,0.03,0.0449,1175,34.2783
1300,1400,0.03,0.0449,1090,33.0151
1400,1500,0.03,0.0449,1143,33.8083
1500,1600,0.03,0.0449,1079,32.8481
1600,1700,0.03,0.0449,1193,34.5398
1700,1800,0.03,0.0449,1154,33.9706
0,100,0.0449,0.0671,867,29.4449
100,200,0.0449,0.0671,814,28.5307
200,300,0.0449,0.0671,841,29.0
300,400,0.0449,0.0671,781,27.9464
400,500,0.0449,0.0671,822,28.6705
500,600,0.0449,0.0671,877,29.6142
600,700,0.0449,0.0671,926,30.4302
700,800,0.0449,0.0671,811,28.4781
800,900,0.0449,0.0671,854,29.2233
900,1000,0.0449,0.0671,831,28.8271
1000,1100,0.0449,0.0671,777,27.8747
1100,1200,0.0449,0.0671,874,29.5635
1200,1300,0.0449,0.0671,829,28.7924
1300,1400,0.0449,0.0671,806,28.3901
1400,1500,0.0449,0.0671,821,28.6531
1500,1600,0.0449,0.0671,863,29.3769
1600,1700,0.0449,0.0671,811,28.4781
1700,1800,0.0449,0.0671,805,28.3725
0,100,0.0671,0.1003,410,20.2485
100,200,0.0671,0.1003,447,21.1424
200,300,0.0671,0.1003,385,19.6214
300,400,0.0671,0.1003,433,20.8087
400,500,0.0671,0.1003,450,21.2132
500,600,0.0671,0.1003,410,20.2485
600,700,0.0671,0.1003,440,20.9762
700,800,0.0671,0.1003,451,21.2368
800,900,0.0671,0.1003,429,20.7123
900,1000,0.0671,0.1003,465,21.5639
1000,1100,0.0671,0.1003,442,21.0238
1100,1200,0.0671,0.1003,399,19.975
1200,1300,0.0671,0.1003,429,20.7123
1300,1400,0.0671,0.1003,413,20.3224
1400,1500,0.0671,0.1003,426,20.6398
1500,1600,0.0671,0.1003,413,20.3224
1600,1700,0.0671,0.1003,368,19.1833
1700,1800,0.0671,0.1003,397,19.9249
0,100,0.1003,0.15,220,14.8324
100,200,0.1003,0.15,208,14.4222
200,300,0.1003,0.15,227,15.0665
300,400,0.1003,0.15,203,14.2478
400,500,0.1003,0.15,183,13.5277
500,600,0.1003,0.15,215,14.6629
600,700,0.1003,0.15,202,14.2127
700,800,0.1003,0.15,204,14.2829
800,900,0.1003,0.15,227,15.0665
900,1000,0.1003,0.15,220,14.8324
1000,1100,0.1003,0.15,210,14.4914
1100,1200,0.1003,0.15,224,14.9666
1200,1300,0.1003,0.15,241,15.5242
1300,1400,0.1003,0.15,230,15.1658
1400,1500,0.1003,0.15,188,13.7113
1500,1600,0.1003,0.15,209,14.4568
1600,1700,0.1003,0.15,228,15.0997
1700,1800,0.1003,0.15,193,13.8924
