TMIN,TMAX,EMIN,EMAX,COUNTS,ERROR
0,100,0.03,0.0449,1169,34.1906
100,200,0.03,0.0449,1109,33.3017
200,300,0.03,0.0449,1101,33.1813
300,400,0.03,0.0449,1145,33.8378
400,500,0.03,0.0449,1157,34.0147
500,600,0.03,0.0449,1138,33.7343
600,700,0.03,0.0449,1085,32.9393
700,800,0.03,0.0449,1109,33.3017
800,900,0.03,0.0449,1169,34.1906
900,1000,0.03,0.0449,1114,33.3766
1000,1100,0.03,0.0449,1176,34.2929
1100,1200,0.03,0.0449,1184,34.4093
1200,1300,0.03,0.0449,1150,33.9116
1300,1400,0.03,0.0449,1112,33.3467
1400,1500,0.03,0.0449,1114,33.3766
1500,1600,0.03,0.0449,1145,33.8378
1600,1700,0.03,0.0449,1176,34.2929
1700,1800,0.03,0.0449,1171,34.2199
0,100,0.0449,0.0671,803,28.3373
100,200,0.0449,0.0671,835,28.8964
200,300,0.0449,0.0671,782,27.9643
300,400,0.0449,0.0671,811,28.4781
400,500,0.0449,0.0671,827,28.7576
500,600,0.0449,0.0671,793,28.1603
600,700,0.0449,0.0671,858,29.2916
700,800,0.0449,0.0671,866,29.4279
800,900,0.0449,0.0671,801,28.3019
900,1000,0.0449,0.0671,813,28.5132
1000,1100,0.0449,0.0671,808,28.4253
1100,1200,0.0449,0.0671,821,28.6531
1200,1300,0.0449,0.0671,842,29.0172
1300,1400,0.0449,0.0671,879,29.6479
1400,1500,0.0449,0.0671,830,28.8097
1500,1600,0.0449,0.0671,840,28.9828
1600,1700,0.0449,0.0671,821,28.6531
1700,1800,0.0449,0.0671,814,28.5307
0,100,0.0671,0.1003,426,20.6398
100,200,0.0671,0.1003,423,20.567
200,300,0.0671,0.1003,453,21.2838
300,400,0.0671,0.1003,393,19.8242
400,500,0.0671,0.1003,418,20.445
500,600,0.0671,0.1003,421,20.5183
600,700,0.0671,0.1003,436,20.8806
700,800,0.0671,0.1003,378,19.4422
800,900,0.0671,0.1003,464,21.5407
900,1000,0.0671,0.1003,446,21.1187
1000,1100,0.0671,0.1003,440,20.9762
1100,1200,0.0671,0.1003,446,21.1187
1200,1300,0.0671,0.1003,422,20.5426
1300,1400,0.0671,0.1003,426,20.6398
1400,1500,0.0671,0.1003,424,20.5913
1500,1600,0.0671,0.1003,395,19.8746
1600,1700,0.0671,0.1003,460,21.4476
1700,1800,0.0671,0.1003,411,20.2731
0,100,0.1003,0.15,227,15.0665
100,200,0.1003,0.15,195,13.9642
200,300,0.1003,0.15,220,14.8324
300,400,0.1003,0.15,207,14.3875
400,500,0.1003,0.15,197,14.0357
500,600,0.1003,0.15,193,13.8924
600,700,0.1003,0.15,213,14.5945
700,800,0.1003,0.15,193,13.8924
800,900,0.1003,0.15,185,13.6015
900,1000,0.1003,0.15,222,14.8997
1000,1100,0.1003,0.15,203,14.2478
1100,1200,0.1003,0.15,192,13.8564
1200,1300,0.1003,0.15,205,14.3178
1300,1400,0.1003,0.15,218,14.7648
1400,1500,0.1003,0.15,220,14.8324
1500,1600,0.1003,0.15,222,14.8997
1600,1700,0.1003,0.15,217,14.7309
1700,1800,0.1003,0.15,215,14.6629
